garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
2,0,0,0,0,1,1,2,2017,285000,1,7,2020,26,0,3,2,0,1,0,0,0,12196.8,1791,1,0,1,1,1.2,3.666666667,1051,12,2,3,1
3,0,0,0,0,1,0,3,1996,799000,5,6,2019,56,0,2,2,0,0,0,0,0,142441.2,4491,1,0,1,1,2.466666667,7,1381,16,7,5,2
0,0,0,1,0,1,1,0,2010,199000,2,2,2020,19,0,3,1,0,0,0,0,0,4007,1268,1,0,1,1,1.733333333,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2014,622800,1,12,2018,36,0,3,2,0,0,0,0,0,7187,2903,1,0,1,1,3.266666667,7.666666667,1259,14,3,3,1
0,0,0,1,0,1,1,0,2000,429000,9,1,2020,32,0,5,1,1,0,0,0,0,11325.6,3033,1,0,1,1,2.033333333,7,1277,16,4,4,2
0,0,0,1,0,1,1,0,2009,259900,1,3,2019,33,0,3,1,0,0,0,0,0,12196.8,2573,1,0,1,2,2.733333333,3.666666667,1085,11,3,3,2
5,0,0,0,0,1,0,5,1977,629000,3,10,2020,77,0,7,2,3,1,0,0,0,13503.6,2340,0,1,1,1,0.9,8.666666667,1632,16,3,4,2
0,0,0,1,0,1,0,0,2014,525000,3,2,2019,40,0,3,2,0,0,0,0,0,7710,3187,1,0,1,1,3.266666667,7.666666667,1259,14,3,4,2
2,0,0,0,0,1,1,2,2002,345000,6,11,2020,55,0,1,3,4,2,0,0,0,7492,3675,1,0,1,1,2.133333333,7,1277,16,4,5,2
2,0,0,0,0,1,1,2,2017,255000,1,3,2020,1,0,3,2,0,1,0,1,0,5000,1641,1,0,1,1,3.166666667,3,1457,13,2,3,1
0,0,0,1,0,1,0,0,2019,282226,1,2,2020,8,0,0,0,1,0,0,0,0,5532,1413,1,0,1,1,2.966666667,3.666666667,1532,12,2,3,1
2,0,0,0,0,1,1,2,2004,180000,3,10,2018,24,0,4,2,0,0,0,0,0,6229,1326,1,0,1,1,2.166666667,2.666666667,1478,13,2,3,1
0,0,0,1,0,1,1,0,2005,184900,2,8,2019,24,0,5,1,0,0,0,1,0,4312,1203,1,0,1,1,1.866666667,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,1982,750000,2,9,2020,110,0,4,2,1,0,0,1,0,8319,2922,1,0,1,1,2.833333333,7,1523,17,4,3,2
4,0,0,0,0,1,1,4,1996,475000,1,11,2020,38,1,3,2,5,3,0,0,0,7405,2428,1,0,1,1,1.466666667,8,1275,15,3,3,2
